Episode,Time,Reward,World,Stage,X Position,Y Position,Life,Score,Status,Reached Flag
291,19.766188144683838,651.0,1,1,40,79,1,400,small,False
292,30.72195863723755,382.0,1,1,722,119,2,200,small,False
293,1.541966438293457,634.0,1,1,40,79,1,100,small,False
294,0.7460291385650635,239.0,1,1,40,79,1,200,small,False
295,2.9440760612487793,638.0,1,1,40,79,1,200,small,False
296,5.834915637969971,731.0,1,1,40,79,1,200,small,False
297,0.709970235824585,248.0,1,1,40,79,1,0,small,False
298,0.6078903675079346,248.0,1,1,40,79,1,0,small,False
299,12.667966604232788,719.0,1,1,40,79,1,200,small,False
300,1.3969528675079346,623.0,1,1,40,79,1,100,small,False
301,1.7730538845062256,621.0,1,1,40,79,1,0,small,False
302,2.857912540435791,640.0,1,1,40,79,1,100,small,False
303,0.9499056339263916,203.0,1,1,40,79,1,0,small,False
304,30.675921201705933,558.0,1,1,898,79,2,400,small,False
305,0.8191454410552979,239.0,1,1,40,79,1,0,small,False
306,30.56034278869629,382.0,1,1,722,79,2,200,small,False
307,9.102829933166504,755.0,1,1,40,79,1,200,small,False
308,1.9669523239135742,624.0,1,1,40,79,1,100,small,False
309,1.7047483921051025,632.0,1,1,40,79,1,100,small,False
310,0.7901134490966797,237.0,1,1,40,79,1,0,small,False
311,7.109723806381226,774.0,1,1,40,79,1,400,small,False
312,30.69380021095276,382.0,1,1,722,79,2,300,small,False
313,0.7309668064117432,231.0,1,1,40,79,1,0,small,False
314,4.388777256011963,586.0,1,1,40,79,1,200,small,False
315,0.818328857421875,233.0,1,1,40,79,1,0,small,False
316,0.7200186252593994,249.0,1,1,40,79,1,0,small,False
317,0.7080531120300293,246.0,1,1,40,79,1,0,small,False
318,25.312270402908325,834.0,1,1,40,79,1,300,small,False
319,0.7280435562133789,237.0,1,1,40,79,1,0,small,False
320,30.528512477874756,558.0,1,1,898,106,2,300,small,False
321,0.8407320976257324,230.0,1,1,40,79,1,0,small,False
322,16.029609203338623,688.0,1,1,40,79,1,200,small,False
323,13.400989770889282,713.0,1,1,40,79,1,100,small,False
324,30.732367992401123,382.0,1,1,722,84,2,500,small,False
325,30.685544729232788,382.0,1,1,722,79,2,200,small,False
326,0.9139559268951416,222.0,1,1,40,79,1,0,small,False
327,2.9130806922912598,640.0,1,1,40,79,1,0,small,False
328,19.02249765396118,596.0,1,1,40,79,1,400,small,False
329,0.7279417514801025,243.0,1,1,40,79,1,0,small,False
330,30.453057289123535,558.0,1,1,898,79,2,300,small,False
331,17.657070636749268,1295.0,1,1,1320,79,1,400,small,False
332,30.695883989334106,517.0,1,1,860,92,2,300,small,False
333,1.5127623081207275,621.0,1,1,40,79,1,100,small,False
334,30.776777029037476,382.0,1,1,722,79,2,100,small,False
335,2.863037347793579,640.0,1,1,40,79,1,200,small,False
336,4.2882983684539795,626.0,1,1,40,79,1,0,small,False
337,11.480233669281006,715.0,1,1,40,79,1,300,small,False
338,30.666815996170044,382.0,1,1,722,83,2,100,small,False
339,30.74441361427307,558.0,1,1,898,84,2,200,small,False
340,18.23185658454895,665.0,1,1,40,79,1,200,small,False
341,25.847429037094116,1216.0,1,1,1320,79,1,500,small,False
342,19.773150205612183,897.0,1,1,40,79,1,300,small,False
343,19.164377212524414,1171.0,1,1,1320,79,1,400,small,False
344,29.958061695098877,551.0,1,1,40,79,1,200,small,False
345,0.8280096054077148,238.0,1,1,40,79,1,0,small,False
346,26.854501724243164,1117.0,1,1,1320,79,1,700,small,False
347,25.911966800689697,1106.0,1,1,1320,79,1,400,small,False
348,7.008246183395386,722.0,1,1,40,79,1,200,small,False
349,0.7773549556732178,229.0,1,1,40,79,1,0,small,False
350,0.7989916801452637,238.0,1,1,40,79,1,0,small,False
351,0.749985933303833,250.0,1,1,40,79,1,0,small,False
352,11.42006802558899,1257.0,1,1,1320,79,1,200,small,False
353,5.856637001037598,552.0,1,1,40,79,1,200,small,False
354,16.677530527114868,1751.0,1,1,1320,79,1,800,small,False
355,9.15531063079834,991.0,1,1,40,79,1,400,small,False
356,15.958839654922485,583.0,1,1,40,79,1,200,small,False
357,18.02193832397461,1199.0,1,1,1320,79,1,300,small,False
358,10.708422183990479,643.0,1,1,40,79,1,200,small,False
359,30.776856422424316,382.0,1,1,722,133,2,200,small,False
360,6.632016658782959,546.0,1,1,40,79,1,100,small,False
361,22.561035633087158,840.0,1,1,40,79,1,500,small,False
362,0.7659850120544434,237.0,1,1,40,79,1,0,small,False
363,1.6056246757507324,637.0,1,1,40,79,1,0,small,False
364,11.575695037841797,966.0,1,1,40,79,1,300,small,False
365,2.9489493370056152,639.0,1,1,40,79,1,0,small,False
366,12.092606544494629,725.0,1,1,40,79,1,200,small,False
367,9.559444427490234,711.0,1,1,40,79,1,100,small,False
368,30.652777671813965,558.0,1,1,898,109,2,600,small,False
369,30.62283682823181,382.0,1,1,722,79,2,200,small,False
370,8.376919269561768,568.0,1,1,40,79,1,0,small,False
371,0.768928050994873,231.0,1,1,40,79,1,0,small,False
372,3.285334587097168,635.0,1,1,40,79,1,200,small,False
373,0.6170175075531006,250.0,1,1,40,79,1,0,small,False
374,30.67787504196167,382.0,1,1,722,94,2,200,small,False
375,18.149689197540283,626.0,1,1,40,79,1,200,small,False
376,30.745585203170776,380.0,1,1,720,106,2,200,small,False
377,30.687646627426147,382.0,1,1,722,79,2,200,small,False
378,15.896279573440552,643.0,1,1,40,79,1,200,small,False
379,2.518153667449951,592.0,1,1,40,79,1,300,small,False
380,30.53367257118225,558.0,1,1,898,99,2,500,small,False
381,28.062445640563965,1095.0,1,1,1320,79,1,600,small,False
382,30.760987281799316,382.0,1,1,722,89,2,200,small,False
383,4.639200687408447,704.0,1,1,40,79,1,100,small,False
384,0.7115895748138428,239.0,1,1,40,79,1,0,small,False
385,0.6192443370819092,249.0,1,1,40,79,1,0,small,False
386,15.075077056884766,926.0,1,1,40,79,1,300,small,False
387,30.596210956573486,382.0,1,1,722,109,2,200,small,False
388,30.53781270980835,558.0,1,1,898,79,2,500,small,False
389,0.6380078792572021,244.0,1,1,40,79,1,0,small,False
390,0.7279784679412842,243.0,1,1,40,79,1,0,small,False
391,0.6619243621826172,251.0,1,1,40,79,1,0,small,False
392,17.477020025253296,1273.0,1,1,1320,79,1,600,small,False
393,15.849113464355469,688.0,1,1,40,79,1,200,small,False
394,18.219544887542725,1289.0,1,1,1320,79,1,400,small,False
395,0.609931468963623,248.0,1,1,40,79,1,0,small,False
396,30.73702049255371,382.0,1,1,722,103,2,100,small,False
397,4.470974922180176,212.0,1,1,40,79,1,0,small,False
398,24.730422258377075,833.0,1,1,40,79,1,400,small,False
399,9.932001829147339,1507.0,1,1,1320,79,1,700,small,False
400,13.476018190383911,1473.0,1,1,1320,79,1,400,small,False
401,7.58810019493103,711.0,1,1,40,79,1,300,small,False
402,30.684332609176636,382.0,1,1,722,102,2,100,small,False
403,27.604356288909912,574.0,1,1,40,79,1,300,small,False
404,19.37847137451172,2515.0,1,1,1320,79,1,500,small,False
405,9.386077642440796,752.0,1,1,40,79,1,300,small,False
406,3.338653564453125,589.0,1,1,40,79,1,0,small,False
407,30.787701845169067,382.0,1,1,722,104,2,200,small,False
408,30.47258734703064,382.0,1,1,722,112,2,200,small,False
409,0.7060601711273193,247.0,1,1,40,79,1,0,small,False
410,0.7800083160400391,243.0,1,1,40,79,1,0,small,False
411,0.6760165691375732,251.0,1,1,40,79,1,0,small,False
412,16.508806467056274,577.0,1,1,40,79,1,200,small,False
413,4.663023233413696,622.0,1,1,40,79,1,100,small,False
414,22.306236743927002,1673.0,1,1,1320,79,1,1100,small,False
