Episode,Time,Reward,World,Stage,X Position,Y Position,Life,Score,Status,Reached Flag
258,34.49066209793091,980.0,1,1,40,79,1,300,small,False
259,77.00115728378296,907.0,1,1,1149,112,2,600,small,False
260,6.048422574996948,637.0,1,1,40,79,1,0,small,False
261,14.957597970962524,1128.0,1,1,40,79,1,100,small,False
262,21.79303550720215,740.0,1,1,40,79,1,200,small,False
263,2.509404182434082,236.0,1,1,40,79,1,0,small,False
264,2.534499168395996,239.0,1,1,40,79,1,0,small,False
265,77.1397340297699,658.0,1,1,898,79,2,200,small,False
266,6.477157354354858,651.0,1,1,40,79,1,0,small,False
267,11.515498161315918,735.0,1,1,40,79,1,200,small,False
268,12.459964513778687,636.0,1,1,40,79,1,200,small,False
269,19.062291860580444,1026.0,1,1,40,79,1,200,small,False
270,14.79820704460144,1044.0,1,1,40,79,1,400,small,False
271,2.7551708221435547,233.0,1,1,40,79,1,0,small,False
272,16.323627948760986,802.0,1,1,40,79,1,300,small,False
273,23.876980304718018,1382.0,1,1,1320,79,1,200,small,False
274,10.556450128555298,637.0,1,1,40,79,1,200,small,False
275,10.450765371322632,638.0,1,1,40,79,1,100,small,False
276,14.824265956878662,1414.0,1,1,1320,79,1,500,small,False
277,71.91889691352844,879.0,1,1,40,79,1,300,small,False
278,11.459789752960205,636.0,1,1,40,79,1,300,small,False
279,2.436328411102295,232.0,1,1,40,79,1,0,small,False
280,11.363155841827393,610.0,1,1,40,79,1,100,small,False
281,2.6749236583709717,239.0,1,1,40,79,1,0,small,False
282,14.706995725631714,1035.0,1,1,40,79,1,100,small,False
283,7.262442111968994,624.0,1,1,40,79,1,100,small,False
284,14.998854160308838,759.0,1,1,40,79,1,400,small,False
285,11.346424341201782,811.0,1,1,40,79,1,200,small,False
286,12.541127443313599,635.0,1,1,40,79,1,200,small,False
287,2.183610200881958,251.0,1,1,40,79,1,0,small,False
288,6.159959554672241,632.0,1,1,40,79,1,0,small,False
289,19.0510573387146,1031.0,1,1,40,79,1,500,small,False
290,20.60859227180481,1020.0,1,1,40,79,1,300,small,False
291,18.215004682540894,795.0,1,1,40,79,1,300,small,False
292,11.150782108306885,1041.0,1,1,40,79,1,0,small,False
293,10.972272634506226,813.0,1,1,40,79,1,100,small,False
294,28.350871324539185,1278.0,1,1,1320,79,1,200,small,False
295,12.334232568740845,725.0,1,1,40,79,1,100,small,False
296,11.09961724281311,814.0,1,1,40,79,1,400,small,False
297,77.04467535018921,482.0,1,1,722,79,2,0,small,False
298,4.007527112960815,191.0,1,1,40,79,1,200,small,False
299,2.8899548053741455,240.0,1,1,40,79,1,0,small,False
300,19.331310510635376,794.0,1,1,40,79,1,200,small,False
301,3.241495370864868,228.0,1,1,40,79,1,0,small,False
302,2.8702471256256104,225.0,1,1,40,79,1,0,small,False
303,16.11082434654236,802.0,1,1,40,79,1,100,small,False
304,10.811866283416748,640.0,1,1,40,79,1,200,small,False
305,6.053609371185303,635.0,1,1,40,79,1,200,small,False
306,10.802892684936523,640.0,1,1,40,79,1,0,small,False
307,16.676796674728394,609.0,1,1,40,79,1,0,small,False
308,26.007689714431763,567.0,1,1,40,79,1,300,small,False
309,78.02860450744629,541.0,1,1,781,109,2,400,small,False
