Episode,Time,Reward,World,Stage,X Position,Y Position,Life,Score,Status,Reached Flag
223,0,0.6730480194091797,223.48,1,1,40,79,1,0,small,False
224,0,0.6692831516265869,223.48,1,1,40,79,1,0,small,False
225,0,0.666353702545166,223.48,1,1,40,79,1,0,small,False
226,0,0.677647590637207,223.48,1,1,40,79,1,0,small,False
227,0,0.665924072265625,223.48,1,1,40,79,1,0,small,False
228,0,0.6836135387420654,223.48,1,1,40,79,1,0,small,False
229,0,0.678656816482544,223.48,1,1,40,79,1,0,small,False
230,0,0.6801867485046387,223.48,1,1,40,79,1,0,small,False
231,0,0.6696937084197998,223.48,1,1,40,79,1,0,small,False
232,0,0.6743731498718262,223.48,1,1,40,79,1,0,small,False
233,0,0.684014081954956,223.48,1,1,40,79,1,0,small,False
234,0,0.678769588470459,223.48,1,1,40,79,1,0,small,False
235,0,0.6808617115020752,223.48,1,1,40,79,1,0,small,False
236,0,0.6955692768096924,223.48,1,1,40,79,1,0,small,False
237,0,0.6797881126403809,223.48,1,1,40,79,1,0,small,False
238,0,0.6874675750732422,223.48,1,1,40,79,1,0,small,False
239,0,0.6775913238525391,223.48,1,1,40,79,1,0,small,False
240,0,0.6718409061431885,223.48,1,1,40,79,1,0,small,False
241,0,0.6817865371704102,223.48,1,1,40,79,1,0,small,False
242,0,0.6797614097595215,223.48,1,1,40,79,1,0,small,False
243,0,0.6736054420471191,223.48,1,1,40,79,1,0,small,False
244,0,0.681201696395874,223.48,1,1,40,79,1,0,small,False
245,0,0.6844565868377686,223.48,1,1,40,79,1,0,small,False
246,0,0.6793656349182129,223.48,1,1,40,79,1,0,small,False
247,0,0.6818406581878662,223.48,1,1,40,79,1,0,small,False
248,0,0.6805145740509033,223.48,1,1,40,79,1,0,small,False
249,0,0.6703212261199951,223.48,1,1,40,79,1,0,small,False
250,0,0.6869845390319824,223.48,1,1,40,79,1,0,small,False
251,0,0.6843278408050537,223.48,1,1,40,79,1,0,small,False
252,0,0.7046422958374023,223.48,1,1,40,79,1,0,small,False
253,0,0.6738393306732178,223.48,1,1,40,79,1,0,small,False
254,0,0.686248779296875,223.48,1,1,40,79,1,0,small,False
255,0,0.6709668636322021,223.48,1,1,40,79,1,0,small,False
256,0,0.6811084747314453,223.48,1,1,40,79,1,0,small,False
257,0,0.6880989074707031,223.48,1,1,40,79,1,0,small,False
258,0,0.6842238903045654,223.48,1,1,40,79,1,0,small,False
259,0,0.6786277294158936,223.48,1,1,40,79,1,0,small,False
260,0,0.6832339763641357,223.48,1,1,40,79,1,0,small,False
261,0,0.6761529445648193,223.48,1,1,40,79,1,0,small,False
262,0,0.68052077293396,223.48,1,1,40,79,1,0,small,False
263,0,0.714393138885498,223.48,1,1,40,79,1,0,small,False
264,0,0.7054529190063477,223.48,1,1,40,79,1,0,small,False
265,0,0.6913106441497803,223.48,1,1,40,79,1,0,small,False
266,0,0.6947126388549805,223.48,1,1,40,79,1,0,small,False
267,0,0.707568883895874,223.48,1,1,40,79,1,0,small,False
268,0,0.684424638748169,223.48,1,1,40,79,1,0,small,False
269,0,0.68670654296875,223.48,1,1,40,79,1,0,small,False
270,0,0.6830794811248779,223.48,1,1,40,79,1,0,small,False
271,0,0.6813642978668213,223.48,1,1,40,79,1,0,small,False
272,0,0.6785459518432617,223.48,1,1,40,79,1,0,small,False
273,0,0.7026247978210449,223.48,1,1,40,79,1,0,small,False
274,0,0.6785519123077393,223.48,1,1,40,79,1,0,small,False
275,0,0.679581880569458,223.48,1,1,40,79,1,0,small,False
